bleiben* blieb geblieben bleibt rester
leihen lieh geliehen leiht prêter
meiden mied gemieden meidet éviter
scheinen schien geschienen scheint briller/paraître
schreiben schrieb geschrieben schreibt écrire
schreien schrie geschrien schreit crier
schweigen schwieg geschwiegen schweigt se_taire
steigen* stieg gestiegen steigt monter
treiben trieb getrieben treibt faire_avancer
weisen wies gewiesen weist indiquer
binden band gebunden bindet lier/attacher
dringen* drang gedrongen dringt pénétrer
finden fand gefunden findet trouver
gelingen* gelang gelungen gelingt réussir
klingen klang geklungen klingt tinter
singen sang gesungen singt chanter
springen* sprang gesprungen springt sauter
trinken trank getrunken trinkt boire
verschlingen verschlang verschlungen verschlingt avaler/engloutir
verschwinden* verschwand verschwunden verschwindet disparaître
zwingen zwang gezwungen zwingt obliger
beginnen begann begonnen beginnt commencer
gewinnen gewann gewonnen gewinnt gagner
schwimmen* schwamm geschwommen schwimmt nager
bieten bot geboten bietet offrir/proposer
fliegen* flog geflogen fliegt voler
fliehen* floh geflohen flieht fuir
fließen* floss geflossen fließt couler
genießen genoss genossen genießt proﬁter/jouir_de
gießen goss gegossen gießt verser/arroser
schießen schoss geschossen schießt tirer_avec_une_arme
schließen schloss geschlossen schließt fermer
verlieren verlor verloren verliert perdre
ziehen zog gezogen zieht tirer/infuser
ziehen* zog gezogen zieht aller s'installer_quelque_part
bitten bat gebeten bittet prier/demander
gehen* ging gegangen geht aller_à_pied
heißen hieß geheißen heißt s'appeler
kommen* kam gekommen kommt venir
liegen lag gelegen liegt être_couché
lügen log gelegen lügt mentir
rufen rief gerufen ruft appeler
schwören schwor geschworen schwört jurer
sitzen saß gesessen sitzt être_assis
stehen stand gestanden steht être_debout
stoßen stieß gestoßen stößt heurter/pousser
tun tat getan tut faire
bringen brachte gebracht bringt apporter
denken dachte gedacht denkt penser
kennen kannte gekannt kennt connaître
nennen nannte genannt nennt nommer
senden sandte/sendete gesandt/gesendet sendet émettre/envoyer
wenden wandte/wendete gewandt/gewendet wendet tourner/retourner
wissen wusste gewusst weiß savoir
fallen* fiel gefallen fällt tomber
fangen fing gefangen fängt attraper/capturer
halten hielt gehalten hält tenir/s’arrêter
hängen hing gehangen hängt être_suspendu
lassen ließ gelassen lässt laisser
laufen* lief gelaufen läuft courir/marcher
raten riet geraten rät conseiller/deviner
schlafen schlief geschlafen schläft dormir
backen backte/buk gebacken bäckt cuire_au_four
fahren* fuhr gefahren fährt aller(en_véhicule)
graben grub gegreben gräbt creuser
laden lud geladen lädt charger
schaffen schuf geschaffen schafft créer
schlagen schlug geschlagen schlägt frapper
tragen trug getragen trägt porter
wachsen* wuchs gewachsen wächst grandir
waschen wusch gewaschen wäscht laver
essen aß gegessen isst manger
fressen fraß gefressen frisst manger_(animaux)
geben gab gegeben gibt donner
geschehen* geschah geschehen geschieht se_produire
lesen las gelesen liest lire
messen maß gemessen misst mesurer
sehen sah gesehen sieht voir
treten* trat getreten tritt marcher/faire_un_pas
vergessen vergaß vergessen vergisst oublier
brechen brach gebrochen bricht briser
gelten galt gegolten gilt valoir
helfen half geholfen hilft aider
nehmen nehm genemmen nimmt prendre
sprechen sprach gesprochen spricht parler
sterben** starb gestorben stirbt mourir
treffen traf getroffen trifft atteindre/rencontrer
werben warb geworben wirbt faire_de_la_publicité
werfen warf geworfen wirft lancer/jeter
heben hob gehoben hebt soulever
gleichen glich geglichen gleicht ressembler
greifen griff gegriffen greift saisir
pfeifen pfiff gepfiffen pfeift siffler
reißen riss gerissen reißt arracher
reiten* ritt geritten reitet faire_du_cheval
schmeißen schmiss geschmissen schmeißt jeter(familier)
schreiten* schritt geschritten schreitet marcher
streiten stritt gestritten streitet (se)disputer
weichen* wich gewichen weicht céder
